,1d,1d_prc,prc_volume
1859,8.34,0.113130765,-0.31064269899999997
1860,17.03,0.261879133,0.23977244
1861,10.27,0.143056136,-0.225387046
1862,5.03,0.065299234,-0.235906055
1863,10.09,0.140197304,-0.42813895399999996
1864,7.6,0.102068225,-0.07310018900000001
1865,13.62,0.19900642899999998,-0.39132647600000003
1866,5.75,0.075350544,-0.292526023
1867,-0.22,-0.0026737970000000003,-0.7796269659999999
1868,5.74,0.075209644,0.205800105
1869,9.62,0.132799558,-0.38184421399999996
1870,7.96,0.10742240199999999,-0.369176622
1871,4.87,0.063091074,-0.058221978
1872,14.66,0.217507418,-0.278168244
1873,2.58,0.032460996,-0.387743489
1874,-1.8,-0.021464345,-0.060799015
1875,-11.45,-0.122446797,-0.187234194
1876,-6.92,-0.077770285,0.179487973
1877,-2.7,-0.031854648,0.306551199
1878,-0.26,-0.003158406,1.0213839809999998
1879,3.63,0.04628331,0.128307035
1880,8.22,0.111321777,0.185599309
1881,5.88,0.077185613,0.490364742
1882,5.64,0.073802669,-0.311610509
1883,-1.42,-0.017010062,0.055121425999999994
1884,0.65,0.007984277,1.193870246
1885,0.76,0.009348093,0.34944368
1886,-16.69,-0.124246259,0.154544094
1887,-16.91,-0.125678187,0.64417328
1888,-15.83,-0.118603431,0.5007989
1889,-21.58,-0.155006465,0.805512427
1890,-20.8,-0.150245594,1.283984279
1891,-22.06,-0.15790980699999999,0.810772904
1892,-22.06,-0.15790980699999999,0.810772904
1893,-20.32,-0.147289069,0.518625535
1894,-28.71,-0.196173557,-0.11108820000000001
1895,-31.96,-0.213636364,-0.16967601899999998
1896,-28.16,-0.193141289,0.6047848229999999
1897,-13.48,-0.102806589,-0.33783450200000004
1898,-16.84,-0.12522308099999999,-0.200817617
1899,-11.68,-0.09031859,-0.209095055
1900,-9.71,-0.076246565,0.36601196700000005
1901,-17.15,-0.127234958,0.718954364
1902,-16.02,-0.119856352,0.75357865
1903,-16.65,-0.123985405,0.306200595
1904,-17.52,-0.129624149,0.47750842
1905,-15.78,-0.118273122,1.3842615090000001
1906,-19.2,-0.14030985099999999,2.1579266059999997
1907,-19.11,-0.139744059,1.453010635
1908,-20.58,-0.14889306900000002,0.46043799
1909,-21.87,-0.156762956,0.355255315
1910,-13.36,-0.10198473300000001,-0.46681814899999996
1911,-8.95,-0.070700687,0.031626245
1912,-9.06,-0.071507498,0.9378061670000001
1913,-9.8,-0.076898933,1.236272864
1914,-11.87,-0.091653154,0.674819223
1915,-15.95,-0.119395164,1.4261450880000002
1916,-19.58,-0.14269057,0.679218703
1917,-14.43,-0.109260241,0.325468602
1918,-3.06,-0.025352113,-0.089084358
1919,2.24,0.031124079,1.5360585130000002
1920,2.99,0.041982589,0.615796944
1921,6.13,0.09004112800000001,-0.17974157600000001
1922,6.0,0.087963642,-0.23389188
1923,2.26,0.031410702,3.4820341210000003
1924,-0.53,-0.00709125,0.34678417899999997
1925,-1.95,-0.025603992000000002,11.64461311
1926,-3.81,-0.048833632,2.1880052269999997
1927,-0.18,-0.00241968,1.4435215000000001
1928,-1.76,-0.02316704,1.123816927
1929,-3.38,-0.043562315,0.725601253
1930,-3.36,-0.043315715,1.922315393
1931,22.22,0.42738988299999997,-0.077865378
1932,14.91,0.25143339,1.100307484
1933,13.33,0.21895532199999998,0.634432427
1934,13.98,0.232110244,0.8732503290000001
1935,18.49,0.33183776,0.575545509
1936,15.73,0.268980848,0.8382636309999999
1937,13.59,0.224183438,0.16990717
1938,18.57,0.333752696,0.591625501
